"Rank","Name","Net Worth","Age","Country | Territory","Source","Industry"
"659","Lin Li","$4.2 B","59","China","Investments","Finance & Investments"
"659","Michael Moritz","$4.2 B","68","United States","Venture capital","Technology"
"659","Jean (Gigi) Pritzker","$4.2 B","60","United States","Hotels, investments","Service"
"659","E. Joe Shoen","$4.2 B","73","United States","U-Haul","Automotive"
"659","Jeff Skoll","$4.2 B","58","United States","EBay","Technology"
"659","Lynsi Snyder","$4.2 B","40","United States","In-N-Out Burger","Food & Beverage"
"659","Djoko Susanto","$4.2 B","73","Indonesia","Supermarkets","Fashion & Retail"
"659","Tahir & family","$4.2 B","71","Indonesia","Diversified","Diversified"
"659","Peter Thiel","$4.2 B","55","United States","Facebook, investments","Finance & Investments"
"679","Andrej Babis","$4.1 B","68","Czech Republic","Agriculture","Food & Beverage"
"679","Danielle Bellon & family","$4.1 B","83","France","Food services","Service"
"679","Hubert Burda","$4.1 B","83","Germany","Publishing","Media & Entertainment"
"679","Nick Caporella","$4.1 B","87","United States","Beverages","Food & Beverage"
"679","John Catsimatidis","$4.1 B","74","United States","Oil, real estate","Energy"
"679","Scott Cook","$4.1 B","70","United States","Software","Technology"
"679","Luca Garavoglia","$4.1 B","54","Italy","Spirits","Food & Beverage"
"679","Antti Herlin","$4.1 B","66","Finland","Elevators, escalators","Manufacturing"
"679","Hong Jie","$4.1 B","55","China","Paint","Manufacturing"
"679","Jeremy Jacobs, Sr. & family","$4.1 B","83","United States","Food service","Service"
"679","Igor Kesaev","$4.1 B","56","Russia","Tobacco distribution, retail","Fashion & Retail"
"679","Mary Alice Dorrance Malone","$4.1 B","73","United States","Campbell Soup","Food & Beverage"
"679","Joao Moreira Salles","$4.1 B","61","Brazil","Banking, minerals","Diversified"
"679","Walther Moreira Salles Junior","$4.1 B","66","Brazil","Banking, minerals","Finance & Investments"
"679","Arturo Moreno","$4.1 B","76","United States","Billboards, Los Angeles Angels","Sports"
"679","Peter Spuhler","$4.1 B","63","Switzerland","Train cars","Manufacturing"
"679","Donald Sterling","$4.1 B","88","United States","Real estate","Real Estate"
"679","Kerry Stokes","$4.1 B","82","Australia","Construction equipment, media","Diversified"
"679","Ken Xie","$4.1 B","60","United States","Cybersecurity","Technology"
"679","Liangzhi Xie & family","$4.1 B","57","China","Biotech","Healthcare"
"699","Sid Bass","$4 B","80","United States","Oil, investments","Energy"
"699","Ben Chestnut","$4 B","48","United States","Email marketing","Technology"
"699","Elisabeth DeLuca & family","$4 B","75","United States","Subway","Food & Beverage"
"699","Guangchang Guo","$4 B","56","China","Conglomerate","Diversified"
"699","Vinod Rai Gupta","$4 B","77","India","Electrical equipment","Manufacturing"
"699","John Henry","$4 B","73","United States","Sports","Sports"
"699","Travis Kalanick","$4 B","46","United States","Uber","Technology"
"699","Koon Poh Keong","$4 B","61","Malaysia","Aluminum","Manufacturing"
"699","Dan Kurzius","$4 B","51","United States","Email marketing","Technology"
"699","Paul Lee","$4 B","65","United States","Battery separators","Manufacturing"
"699","Tobi Lutke","$4 B","42","Canada","E-commerce","Technology"
"699","Gail Miller","$4 B","79","United States","Car dealerships","Automotive"
"699","Rajan Mittal","$4 B","63","India","Telecom","Telecom"
"699","Rakesh Mittal","$4 B","67","India","Telecom","Telecom"
"699","Isaac Perlmutter","$4 B","80","United States","Marvel comics","Media & Entertainment"
"699","Bernard Saul, II.","$4 B","90","United States","Banking, real estate","Finance & Investments"
"699","Shaul Shani","$4 B","68","Israel","Telecom","Telecom"
"699","Steven Spielberg","$4 B","76","United States","Movies","Media & Entertainment"
"699","Jerzy Starak","$4 B","75","Poland","Pharmaceuticals","Healthcare"
"699","Torbjorn Tornqvist","$4 B","69","Sweden","Oil trading","Energy"
"699","Rufino Vigil Gonzalez","$4 B","74","Mexico","Steel","Metals & Mining"
"699","Zhang Daocai","$4 B","73","China","Valves","Diversified"
"721","Juergen Blickle","$3.9 B","76","Germany","Auto parts","Manufacturing"
"721","Austen Cargill, II.","$3.9 B","72","United States","Cargill","Food & Beverage"
"721","James Cargill, II.","$3.9 B","73","United States","Cargill","Food & Beverage"
"721","Vanich Chaiyawan","$3.9 B","91","Thailand","Insurance, beverages","Finance & Investments"
"721","Chen Dongsheng","$3.9 B","65","China","Insurance","Finance & Investments"
"721","Mong-Koo Chung","$3.9 B","85","South Korea","Hyundai","Automotive"
"721","Kenneth Dart","$3.9 B","67","Belize","Investments","Finance & Investments"
"721","Giuseppe De'Longhi & family","$3.9 B","83","Italy","Coffee makers","Fashion & Retail"
"721","Guenther Fielmann & family","$3.9 B","83","Germany","Optometry","Healthcare"
"721","W. Herbert Hunt","$3.9 B","94","United States","Oil","Energy"
"721","James Irsay","$3.9 B","63","United States","Indianapolis Colts","Sports"
"721","Somurai Jaruphnit","$3.9 B","N/A","Thailand","Diversified","Diversified"
"721","Marianne Liebmann","$3.9 B","69","United States","Cargill","Food & Beverage"
"721","Jorge Moll Filho & family","$3.9 B","78","Brazil","Hospitals","Healthcare"
"721","Fernando Roberto Moreira Salles","$3.9 B","76","Brazil","Banking, minerals","Diversified"
"721","Pedro Moreira Salles","$3.9 B","63","Brazil","Banking, minerals","Diversified"
"721","Gabe Newell","$3.9 B","60","United States","Videogames","Gambling & Casinos"
"721","Alfred Oetker","$3.9 B","56","Germany","Consumer goods","Fashion & Retail"
"721","Carl Ferdinand Oetker","$3.9 B","50","Germany","Consumer goods","Fashion & Retail"
"721","Julia Oetker","$3.9 B","44","Germany","Consumer goods","Fashion & Retail"
"721","Ruan Hongliang & family","$3.9 B","62","China","Glass","Manufacturing"
"721","Mark Stevens","$3.9 B","63","United States","Venture capital","Finance & Investments"
"721","Tsai Hong-tu","$3.9 B","70","Taiwan","Finance","Finance & Investments"
"721","Nusli Wadia","$3.9 B","79","India","Consumer goods","Food & Beverage"
"721","Wu Yiling","$3.9 B","73","China","Pharmaceuticals","Healthcare"
"721","Yu Renrong","$3.9 B","57","China","Semiconductors","Manufacturing"
"721","Zhu Baoguo & family","$3.9 B","60","China","Pharmaceuticals","Healthcare"
"748","Rahul Bhatia","$3.8 B","63","India","Aviation","Service"
"748","Francesco Gaetano Caltagirone","$3.8 B","80","Italy","Cement, diversified","Construction & Engineering"
"748","Barry Diller","$3.8 B","81","United States","Online media","Media & Entertainment"
"748","Wesley Edens","$3.8 B","61","United States","Investments","Finance & Investments"
"748","Stephen Feinberg","$3.8 B","63","United States","Private equity","Finance & Investments"
"748","Rakesh Gangwal","$3.8 B","69","United States","Airline","Service"
"748","Joseph Grendys","$3.8 B","61","United States","Poultry processing","Food & Beverage"
"748","Martha Ingram & family","$3.8 B","87","United States","Book distribution, transportation","Media & Entertainment"
"748","Li Xiang","$3.8 B","41","China","Electric vehicles","Automotive"
"748","H. Ross Perot, Jr.","$3.8 B","64","United States","Real estate","Real Estate"
"748","Chandru Raheja","$3.8 B","82","India","Real estate","Real Estate"
"748","Trevor Rees-Jones","$3.8 B","71","United States","Oil & gas","Energy"
"748","Yasumitsu Shigeta","$3.8 B","58","Japan","Mobile phone retailer","Telecom"
"748","Su Qingcan","$3.8 B","54","China","Healthcare","Healthcare"
"748","Tsai Cheng-ta","$3.8 B","73","Taiwan","Finance","Finance & Investments"
"748","Steven Udvar-Hazy","$3.8 B","77","United States","Aircraft leasing","Service"
"748","Elizabeth Uihlein","$3.8 B","77","United States","Packaging materials","Manufacturing"
"748","Richard Uihlein","$3.8 B","77","United States","Packaging materials","Manufacturing"
"766","Hayes Barnard","$3.7 B","51","United States","Fintech","Finance & Investments"
"766","William Berkley","$3.7 B","76","United States","Insurance","Finance & Investments"
"766","Charles Cohen","$3.7 B","71","United States","Real estate","Real Estate"
"766","Yakir Gabay","$3.7 B","56","Cyprus","Real estate","Real Estate"
"766","Huang Li","$3.7 B","59","China","Imaging systems","Technology"
"766","Brad Jacobs","$3.7 B","66","United States","Logistics","Logistics"
"766","Ji Qi","$3.7 B","56","China","Hotels, motels","Real Estate"
"766","Jason Jiang","$3.7 B","50","Singapore","Advertising","Media & Entertainment"
"766","Jim Kavanaugh","$3.7 B","60","United States","IT provider","Technology"
"766","Richard LeFrak & family","$3.7 B","77","United States","Real estate","Real Estate"
"766","Mikhail Lomtadze","$3.7 B","47","Georgia","Fintech","Finance & Investments"
"766","Tom Morris","$3.7 B","68","United Kingdom","Retail","Fashion & Retail"
"766","Shigenobu Nagamori","$3.7 B","78","Japan","Motors","Manufacturing"
"766","Daniel Och","$3.7 B","62","United States","Hedge funds","Finance & Investments"
"766","Horst Paulmann & family","$3.7 B","88","Chile","Retail","Fashion & Retail"
"766","Anthony Pritzker","$3.7 B","62","United States","Hotels, investments","Service"
"766","John Sall","$3.7 B","75","United States","Software","Technology"
"766","Howard Schultz","$3.7 B","69","United States","Starbucks","Food & Beverage"
"766","Richard Schulze","$3.7 B","82","United States","Best Buy","Fashion & Retail"
"766","Yitzhak Tshuva","$3.7 B","74","Israel","Real estate","Real Estate"
"766","Wang Yanqing & family","$3.7 B","56","China","Electrical equipment","Manufacturing"
"787","Rajiv Bajaj","$3.6 B","56","India","Diversified","Diversified"
"787","Sanjiv Bajaj","$3.6 B","53","India","Diversified","Diversified"
"787","Leonid Boguslavsky","$3.6 B","71","Canada","Venture capital","Finance & Investments"
"787","Jim Coulter","$3.6 B","63","United States","Private equity","Finance & Investments"
"787","Nicolas D'Ieteren","$3.6 B","47","Belgium","Auto parts, distribution","Automotive"
"787","Beatriz Davila de Santo Domingo","$3.6 B","84","Colombia","Beer","Food & Beverage"
"787","Bob Gaglardi","$3.6 B","82","Canada","Hotels","Real Estate"
"787","Jaime Gilinski Bacal","$3.6 B","65","Colombia","Banking","Finance & Investments"
"787","Pansy Ho","$3.6 B","60","Hong Kong","Casinos","Gambling & Casinos"
"787","Alan Howard","$3.6 B","59","United Kingdom","Hedge funds","Finance & Investments"
"787","Huang Yi","$3.6 B","61","Hong Kong","Car dealerships","Automotive"
"787","Peter Kellogg","$3.6 B","80","United States","Investments","Finance & Investments"
"787","Vyacheslav Kim","$3.6 B","53","Kazakhstan","Fintech","Finance & Investments"
"787","Josh Kushner","$3.6 B","37","United States","Venture capital","Finance & Investments"
"787","Samuel Tak Lee","$3.6 B","83","Hong Kong","Real estate","Real Estate"
"787","Edwin Leong","$3.6 B","71","Hong Kong","Real estate","Real Estate"
"787","Stephen Mandel, Jr.","$3.6 B","67","United States","Hedge funds","Finance & Investments"
"787","Mohamed Mansour","$3.6 B","75","Egypt","Diversified","Diversified"
"787","Masahiro Miki","$3.6 B","67","Japan","Shoes","Fashion & Retail"
"787","Masahiro Noda","$3.6 B","84","Japan","Software","Technology"
"787","Cliff Obrecht","$3.6 B","37","Australia","Software","Technology"
"787","Melanie Perkins","$3.6 B","35","Australia","Software","Technology"
"787","J.B. Pritzker","$3.6 B","58","United States","Hotels, investments","Finance & Investments"
"787","Juan Roig","$3.6 B","73","Spain","Supermarkets","Fashion & Retail"
"787","Jerry Speyer & family","$3.6 B","82","United States","Real estate","Real Estate"
"787","Lawrence Stroll","$3.6 B","63","Canada","Fashion investments","Fashion & Retail"
"787","Tung Chee Chen","$3.6 B","80","Hong Kong","Shipping","Logistics"
"787","Wang Junlin & family","$3.6 B","60","China","Liquor","Food & Beverage"
"787","Xia Zuoquan","$3.6 B","61","China","Automobiles, batteries","Automotive"
"787","Zeng Fangqin","$3.6 B","57","Hong Kong","Smartphone components","Technology"
"787","Zhang Jian","$3.6 B","54","China","Electric bikes, scooters","Manufacturing"
"818","Rocco Basilico","$3.5 B","33","Italy","Eyeglasses","Fashion & Retail"
"818","Maurizio Billi","$3.5 B","65","Brazil","Generic drugs","Healthcare"
"818","Fashu Chen","$3.5 B","62","China","Investments","Finance & Investments"
"818","Giuseppe Crippa & family","$3.5 B","87","Italy","Microchip testing","Manufacturing"
"818","Daniel D'Aniello","$3.5 B","76","United States","Private equity","Finance & Investments"
"818","Claudio Del Vecchio","$3.5 B","66","Italy","Eyeglasses","Fashion & Retail"
"818","Clemente Del Vecchio","$3.5 B","18","Italy","Eyeglases","Fashion & Retail"
"818","Leonardo Maria Del Vecchio","$3.5 B","27","Italy","Eyeglasses","Fashion & Retail"
"818","Luca Del Vecchio","$3.5 B","21","Italy","Eyeglasses","Fashion & Retail"
"818","Marisa Del Vecchio","$3.5 B","64","Italy","Eyeglasses","Fashion & Retail"
"818","Paola Del Vecchio","$3.5 B","61","Italy","Eyeglasses","Fashion & Retail"
"818","Walter P.J. Droege","$3.5 B","70","Germany","Investing","Finance & Investments"
"818","Fan Daidi","$3.5 B","57","China","Skincare","Fashion & Retail"
"818","Peter Gassner","$3.5 B","58","United States","Software","Technology"
"818","Mikhail Gutseriev","$3.5 B","65","Russia","Oil, coal, real estate","Energy"
"818","Patrick Lee","$3.5 B","81","Hong Kong","Paper","Manufacturing"
"818","Leng Youbin","$3.5 B","54","China","Infant formula","Food & Beverage"
"818","Daniel Loeb","$3.5 B","61","United States","Hedge funds","Finance & Investments"
"818","Margarita Louis-Dreyfus & family","$3.5 B","60","Switzerland","Commodities","Food & Beverage"
"818","Prasert Prasarttong-Osoth","$3.5 B","90","Thailand","Hospitals","Healthcare"
"818","Ira Rennert","$3.5 B","88","United States","Investments","Finance & Investments"
"818","Dirk Rossmann & family","$3.5 B","76","Germany","Drugstores","Fashion & Retail"
"818","Arkady Rotenberg","$3.5 B","71","Russia","Construction, pipes, banking","Construction & Engineering"
"818","Remo Ruffini","$3.5 B","61","Italy","Winter jackets","Fashion & Retail"
"818","Karin Sartorius-Herbst","$3.5 B","N/A","Germany","Biopharmaceuticals","Healthcare"
"818","Vivek Chaand Sehgal","$3.5 B","66","Australia","Auto parts","Automotive"
"818","Scott Shleifer","$3.5 B","45","United States","Private equity","Finance & Investments"
"818","Thomas Siebel","$3.5 B","70","United States","Business software","Technology"
"818","Wim van der Leegte & family","$3.5 B","75","Netherlands","Manufacturing","Manufacturing"
"818","Xiao Yongming & family","$3.5 B","58","China","Fertilizer","Diversified"
"818","Michael Xie","$3.5 B","54","United States","Cybersecurity","Technology"
"818","Yang Shaopeng","$3.5 B","65","China","Shipping","Logistics"
"818","Nicoletta Zampillo","$3.5 B","65","Italy","Eyeglasses","Fashion & Retail"
"818","Barry Zekelman","$3.5 B","56","Canada","Steel","Manufacturing"
"852","William Ackman","$3.4 B","56","United States","Hedge funds","Finance & Investments"
"852","Somphote Ahunai","$3.4 B","55","Thailand","Renewable energy","Energy"
"852","Igor Altushkin","$3.4 B","52","Russia","Metals","Metals & Mining"
"852","Ramon Ang","$3.4 B","69","Philippines","Diversified","Food & Beverage"
"852","Acharya Balkrishna","$3.4 B","50","India","Consumer goods","Food & Beverage"
"852","Markus Blocher","$3.4 B","52","Switzerland","Chemicals","Manufacturing"
"852","Richard Branson","$3.4 B","72","United Kingdom","Virgin","Diversified"
"852","Cho Jung-ho","$3.4 B","64","South Korea","Finance","Finance & Investments"
"852","Alessandra Garavoglia","$3.4 B","63","Italy","Spirits","Food & Beverage"
"852","Laurence Graff & family","$3.4 B","84","United Kingdom","Diamond jewelry","Fashion & Retail"
"852","Amos Hostetter, Jr.","$3.4 B","86","United States","Cable television","Media & Entertainment"
"852","Robert Johnson","$3.4 B","75","United States","Johnson & Johnson, sports","Sports"
"852","Steven Klinsky","$3.4 B","66","United States","Investments","Finance & Investments"
"852","William Lauder","$3.4 B","62","United States","Estee Lauder","Fashion & Retail"
"852","John Middleton","$3.4 B","68","United States","Tobacco","Food & Beverage"
"852","Hiroshi Mikitani","$3.4 B","58","Japan","Online retail","Fashion & Retail"
"852","Bob Parsons","$3.4 B","72","United States","Web hosting","Technology"
"852","J. Joe Ricketts & family","$3.4 B","81","United States","TD Ameritrade","Finance & Investments"
"852","Herb Simon","$3.4 B","88","United States","Real estate","Real Estate"
"852","Leena Tewari","$3.4 B","65","India","Pharmaceuticals","Healthcare"
"852","Stefan von Holtzbrinck","$3.4 B","59","Germany","Publishing","Media & Entertainment"
"852","Hans Peter Wild","$3.4 B","81","Switzerland","Flavorings","Food & Beverage"
"852","Wu Guanjiang & family","$3.4 B","54","China","Pharmaceuticals","Healthcare"
"852","Yi Zheng","$3.4 B","52","China","Software","Technology"
"852","Eric Yuan & family","$3.4 B","53","United States","Zoom Video Communications","Technology"
"852","Charles Zegar","$3.4 B","75","United States","Bloomberg LP","Media & Entertainment"
"878","Mohed Altrad","$3.3 B","75","France","Scaffolding, cement mixers","Construction & Engineering"
"878","John Arnold","$3.3 B","49","United States","Hedge funds","Finance & Investments"
"878","Bill Austin","$3.3 B","81","United States","Hearing aids","Manufacturing"
"878","Chen Shibin","$3.3 B","56","China","Quartz products","Manufacturing"
"878","Bennett Dorrance","$3.3 B","77","United States","Campbell Soup","Food & Beverage"
"878","Walter Faria","$3.3 B","68","Brazil","Beer","Food & Beverage"
"878","Walter Frey","$3.3 B","79","Switzerland","Car dealerships","Automotive"
"878","Fu Liquan & family","$3.3 B","55","China","Surveillance equipment","Technology"
"878","John Gandel","$3.3 B","88","Australia","Shopping malls","Real Estate"
"878","Peter Gilgan","$3.3 B","72","Canada","Homebuilding","Construction & Engineering"
"878","Kwek Leng Beng","$3.3 B","82","Singapore","Diversified","Diversified"
"878","Pablo Legorreta","$3.3 B","59","United States","Investments","Finance & Investments"
"878","Arnon Milchan","$3.3 B","78","Israel","Movie making","Media & Entertainment"
"878","Akio Nitori","$3.3 B","79","Japan","Home furnishings","Fashion & Retail"
"878","Julio Ponce Lerou","$3.3 B","77","Chile","Fertilizer","Metals & Mining"
"878","Rodger Riney & family","$3.3 B","77","United States","Discount brokerage","Finance & Investments"
"878","Phil Ruffin","$3.3 B","88","United States","Casinos, real estate","Diversified"
"878","Naguib Sawiris","$3.3 B","68","Egypt","Telecom","Telecom"
"878","Shen Neil","$3.3 B","55","Hong Kong","Venture capital","Finance & Investments"
"878","Gil Shwed","$3.3 B","54","Israel","Software","Technology"
"878","Stephen Smith","$3.3 B","71","Canada","Finance and investments","Finance & Investments"
"878","Nik Storonsky","$3.3 B","38","United Kingdom","Fintech","Finance & Investments"
"878","Jeffrey Talpins","$3.3 B","48","United States","Hedge fund","Finance & Investments"
"878","Carl Thoma","$3.3 B","74","United States","Investments","Finance & Investments"
"878","Todd Wanek","$3.3 B","59","United States","Furniture","Manufacturing"
"878","Xue Hua","$3.3 B","53","China","Agribusiness","Manufacturing"
"878","Takao Yasuda","$3.3 B","73","Japan","Retail","Fashion & Retail"
"905","Karen Virginia Beckmann Legoretta","$3.2 B","53","Mexico","Tequila","Food & Beverage"
"905","Giuliana Benetton","$3.2 B","85","Italy","Fashion retail, investments","Fashion & Retail"
"905","Luciano Benetton","$3.2 B","87","Italy","Fashion retail, investments","Fashion & Retail"
"905","Arun Bharat Ram","$3.2 B","82","India","Chemicals","Manufacturing"
"905","Ron Burkle","$3.2 B","70","United States","Supermarkets, investments","Finance & Investments"
"905","Chen Kaixuan","$3.2 B","64","China","Household chemicals","Manufacturing"
"905","Brunello Cucinelli & family","$3.2 B","69","Italy","Fashion","Fashion & Retail"
"905","Antonio Del Valle Ruiz & family","$3.2 B","84","Mexico","Chemicals","Manufacturing"
"905","Gustavo Denegri & family","$3.2 B","86","Italy","Biotech","Healthcare"
"905","Dong Jinggui","$3.2 B","53","China","Electric scooters","Automotive"
"905","Charles Ergen","$3.2 B","70","United States","Satellite TV","Media & Entertainment"
"905","David Filo","$3.2 B","56","United States","Yahoo","Technology"
"905","Lindsay Fox","$3.2 B","85","Australia","Logistics, real estate","Logistics"
"905","Sergei Galitsky","$3.2 B","55","Russia","Retail","Fashion & Retail"
"905","Senapathy Gopalakrishnan","$3.2 B","67","India","Software services","Technology"
"905","Luciano Hang","$3.2 B","60","Brazil","Department stores","Fashion & Retail"
"905","Michael Hintze","$3.2 B","69","Australia","Investment","Finance & Investments"
"905","Hu Baifan","$3.2 B","60","China","Pharmaceuticals","Healthcare"
"905","Hamilton James & family","$3.2 B","71","United States","Investments","Finance & Investments"
"905","Lee Boo-jin","$3.2 B","52","South Korea","Samsung","Technology"
"905","Li Liangbin","$3.2 B","55","China","Lithium","Manufacturing"
"905","Liang Feng","$3.2 B","54","China","Manufacturing","Manufacturing"
"905","Samir Mehta","$3.2 B","59","India","Pharmaceuticals, power","Healthcare"
"905","Sudhir Mehta","$3.2 B","68","India","Pharmaceuticals, power","Healthcare"
"905","Aristotelis Mistakidis","$3.2 B","61","Greece","Mining, commodities","Metals & Mining"
"905","Geoffrey Palmer","$3.2 B","72","United States","Real estate","Real Estate"
"905","Roger Penske","$3.2 B","86","United States","Cars","Automotive"
"905","Ravi Pillai","$3.2 B","69","India","Construction","Construction & Engineering"
"905","David Rubenstein","$3.2 B","73","United States","Private equity","Finance & Investments"
"905","Hilton Schlosberg","$3.2 B","70","United Kingdom","Energy drinks","Food & Beverage"
"905","Klaus-Peter Schulenberg","$3.2 B","71","Germany","Ticketing service","Service"
"905","Lynn Schusterman & family","$3.2 B","84","United States","Oil & gas, investments","Energy"
"905","Isabella Seràgnoli","$3.2 B","77","Italy","Packaging","Manufacturing"
"905","Shen Guojun","$3.2 B","60","China","Retail","Fashion & Retail"
"905","Warren Stephens","$3.2 B","66","United States","Investment banking","Finance & Investments"
"905","Pat Stryker","$3.2 B","66","United States","Medical equipment","Healthcare"
"905","Roman Trotsenko","$3.2 B","52","Russia","Transport, engineering, real estate","Logistics"
"905","Harald Tschira","$3.2 B","48","Germany","Software","Technology"
"905","Udo Tschira","$3.2 B","53","Germany","Software","Technology"
"905","Vincent Viola","$3.2 B","67","United States","Electronic trading","Finance & Investments"
"905","Wu Shaoxun","$3.2 B","67","China","Wine","Food & Beverage"
"905","Steve Wynn","$3.2 B","81","United States","Casinos, hotels","Gambling & Casinos"
"905","Jon Yarbrough","$3.2 B","65","United States","Video games","Gambling & Casinos"
"905","Zhou Bajin","$3.2 B","87","China","Auto parts","Manufacturing"
"949","Cho Tak Wong","$3.1 B","76","Hong Kong","Auto parts","Manufacturing"
"949","John Coates","$3.1 B","53","United Kingdom","Online gambling","Gambling & Casinos"
"949","Ryan Cohen","$3.1 B","37","Canada","Investments","Finance & Investments"
"949","Deng Wen","$3.1 B","55","China","Flavorings","Food & Beverage"
"949","Gurbachan Singh Dhingra","$3.1 B","72","India","Paints","Manufacturing"
"949","Kuldip Singh Dhingra","$3.1 B","75","India","Paints","Manufacturing"
"949","Martin Ebner","$3.1 B","77","Switzerland","Investments","Finance & Investments"
"949","Charles Edelstenne","$3.1 B","85","France","Aviation","Manufacturing"
"949","Sergei Gordeev","$3.1 B","50","Russia","Real estate","Real Estate"
"949","Jeff T. Green","$3.1 B","46","United States","Digital advertising","Media & Entertainment"
"949","Reed Hastings","$3.1 B","62","United States","Netflix","Technology"
"949","Bertil Hult","$3.1 B","82","Sweden","Education","Service"
"949","Miguel Krigsner","$3.1 B","73","Brazil","Cosmetics","Fashion & Retail"
"949","Kuok Khoon Hong","$3.1 B","73","Singapore","Palm oil","Manufacturing"
"949","Aerin Lauder","$3.1 B","52","United States","Estee Lauder","Fashion & Retail"
"949","Sheldon Lavin","$3.1 B","90","United States","Meat processing","Food & Beverage"
"949","Yin Yee Lee","$3.1 B","71","China","Glass","Manufacturing"
"949","Vladimir Litvinenko & family","$3.1 B","67","Russia","Chemical industry","Manufacturing"
"949","Daniel Mate","$3.1 B","59","Spain","Mining, commodities","Metals & Mining"
"949","Ravi Modi","$3.1 B","46","India","Readymade garments","Fashion & Retail"
"949","Farhad Moshiri","$3.1 B","67","United Kingdom","Diversified","Diversified"
"949","Jonathan Nelson","$3.1 B","66","United States","Private equity","Finance & Investments"
"949","Or Wai Sheun","$3.1 B","71","Hong Kong","Real estate","Real Estate"
"949","Katharina Otto-Bernstein","$3.1 B","59","Germany","Real estate","Real Estate"
"949","Sergei Popov","$3.1 B","51","Russia","Banking","Finance & Investments"
"949","Penny Pritzker","$3.1 B","63","United States","Hotels, investments","Finance & Investments"
"949","Theodore Rachmat","$3.1 B","79","Indonesia","Diversified","Diversified"
"949","Renzo Rosso & family","$3.1 B","67","Italy","Fashion","Fashion & Retail"
"949","Friede Springer","$3.1 B","80","Germany","Publishing","Media & Entertainment"
"949","Rita Tong Liu","$3.1 B","74","Hong Kong","Real estate","Real Estate"
"949","Timur Turlov","$3.1 B","35","Kazakhstan","Stock brokerage","Finance & Investments"
"949","Frank VanderSloot","$3.1 B","74","United States","Nutrition, wellness products","Fashion & Retail"
"949","Yoo Jung-hyun","$3.1 B","53","South Korea","Online games","Media & Entertainment"
"982","Abdulla bin Ahmad Al Ghurair & family","$3 B","N/A","United Arab Emirates","Diversified","Diversified"
"982","Semahat Sevim Arsel","$3 B","94","Turkey","Diversified","Diversified"
"982","Nicolas Berggruen","$3 B","61","United States","Real estate, investments","Real Estate"
"982","George Bishop","$3 B","85","United States","Oil & gas","Energy"
"982","Norman Braman","$3 B","90","United States","Art, car dealerships","Automotive"
"982","Eva Maria Bucher-Haefner","$3 B","66","Switzerland","Software, investments","Technology"
"982","Cai Dongchen","$3 B","70","China","Pharmaceuticals","Healthcare"
"982","Jean-Pierre Cayard","$3 B","80","France","Spirits","Food & Beverage"
"982","Chan Tan Ching-fen","$3 B","N/A","Hong Kong","Real estate","Real Estate"
"982","Todd Christopher","$3 B","60","United States","Hair care products","Fashion & Retail"
"982","Mang Yee Chu & family","$3 B","63","China","Real estate","Real Estate"
"982","William Conway, Jr.","$3 B","73","United States","Private equity","Finance & Investments"
"982","Jean Coutu & family","$3 B","95","Canada","Drugstores","Fashion & Retail"
"982","Catheline Perier D'Ieteren","$3 B","78","Belgium","Auto parts, distribution","Automotive"
"982","Edward DeBartolo, Jr.","$3 B","76","United States","Shopping centers","Real Estate"
"982","Stephen Deckoff","$3 B","57","United States","Private equity","Finance & Investments"
"982","Feng Hailiang","$3 B","62","China","Copper, education","Metals & Mining"
"982","Ernest Garcia, II.","$3 B","65","United States","Used cars","Automotive"
"982","Sam Goi","$3 B","76","Singapore","Frozen foods","Food & Beverage"
"982","Carlos Hank Rhon","$3 B","75","Mexico","Banking","Diversified"
"982","Susan Carol Holland","$3 B","66","Italy","Hearing aids","Manufacturing"
"982","Hui Ka Yan","$3 B","64","China","Real estate","Real Estate"
"982","Vivek Jain","$3 B","67","India","Chemicals","Manufacturing"
"982","Friedrich Knapp","$3 B","71","Germany","Fashion retail","Fashion & Retail"
"982","Egor Kulkov","$3 B","51","Russia","Pharmaceuticals","Healthcare"
"982","Lin Ming-hsiung","$3 B","73","Taiwan","Supermarkets","Fashion & Retail"
"982","Lin Xiucheng & family","$3 B","67","China","Electronics","Technology"
"982","Harsh Mariwala","$3 B","71","India","Consumer goods","Food & Beverage"
"982","Gilles Martin","$3 B","59","France","Laboratory services","Healthcare"
"982","Maja Oeri","$3 B","68","Switzerland","Pharmaceuticals","Healthcare"
"982","John Paulson","$3 B","67","United States","Hedge funds","Finance & Investments"
"982","Ajay Piramal","$3 B","67","India","Pharmaceuticals","Healthcare"
"982","Guanghe Qiu & family","$3 B","71","China","Fashion retail","Fashion & Retail"
"982","Stephen Rubin","$3 B","86","United Kingdom","Sports apparel","Fashion & Retail"
"982","Robert Sands","$3 B","64","United States","Liquor","Food & Beverage"
"982","Erik Selin","$3 B","55","Sweden","Real estate","Real Estate"
"982","Yonghong Shi & family","$3 B","54","China","Restaurants","Food & Beverage"
"982","Martua Sitorus","$3 B","63","Indonesia","Palm oil","Manufacturing"
"982","Guangxin Sun","$3 B","60","China","Diversified","Diversified"
"982","Sukanto Tanoto","$3 B","73","Indonesia","Diversified","Diversified"
"982","Sunny Varkey","$3 B","65","India","Education","Service"
"982","Gang Ye","$3 B","42","Singapore","Gaming","Media & Entertainment"
"982","Ye Xiaoping","$3 B","60","China","Pharmaceuticals","Healthcare"
